id,length,ttft,tpot,e2e,started
0,156,3.8081717491149902,7.152557373046875e-06,3.8081789016723633,1775816130.5766492
1,134,3.807378053665161,2.1457672119140625e-06,3.807380199432373,1775816130.5766706
2,373,3.80618953704834,9.5367431640625e-07,3.8061904907226562,1775816130.5766795
3,125,3.8055574893951416,1.1920928955078125e-06,3.805558681488037,1775816130.5766869
4,194,3.804800271987915,9.5367431640625e-07,3.8048012256622314,1775816130.5766938
5,284,9.869622707366943,5.0067901611328125e-06,9.869627714157104,1775816136.6423793
6,402,9.868499279022217,1.1920928955078125e-06,9.868500471115112,1775816136.642396
7,322,9.867002487182617,9.5367431640625e-07,9.867003440856934,1775816136.6424026
8,390,9.86575698852539,9.5367431640625e-07,9.865757942199707,1775816136.6424093
9,159,9.865049600601196,1.1920928955078125e-06,9.865050792694092,1775816136.6424153
